Year;The organization works (1 - works, 0 - no);The organization receives agricultural production from the activity (1 - yes, 0 - no);Number of workers last year, persons;Average monthly salary of workers last year;Size of acreage last year, hectare;Conditional livestock of farm animals last year, heads;Quantity of agricultural machinery last year, pieces;Cost of fixed assets of the organization last year;Costs of production of the organization last year;Prime cost of the made agricultural production last year;Proceeds from sales of the made agricultural production last year;Profit on realization of the made agricultural production last year
2017;1;1;74;15269.14414;4405;1776;24;205684;122810;70890;76942;6052
2017;1;1;6;6041.666667;619;241;12;26585;7636;5956;4235;-1721
2017;1;1;10;14475;1341;7;12;48411;15624;28917;28731;-186
2017;1;1;71;17251.17371;3592;951;21;47772;57048;34601;37856;3255
2017;1;1;126;15000;5514;1684;27;234842;273727;221505;225128;3623
2017;1;1;56;14973.21429;3509;890;22;38541;57891;35460;41431;5971
2017;1;1;37;15351.35135;4444;1200;13;117104;76008;74949;73655;-1294
2017;1;1;98;17269.55782;8332;930;34;250203;157290;98275;124686;26411
2017;1;1;5;10500;0;15;0;1811;962;1012;279;-733
2017;1;1;36;17111.11111;5413;0;20;89193;57566;52581;56460;3879
2017;1;1;34;17372.54902;33;0;3;49183;96125;86996;96641;9645
2017;1;1;4;16000;2032;0;0;0;10413;4407;4990;583
2017;1;1;66;14170.45455;3168;910;35;124265;80668;51993;52429;436
2017;1;1;245;18876.19048;10538;4113;82;1077719;571833;434254;452020;17766
2017;1;1;83;18415.66265;8778;0;25;89345;115849;79426;93015;13589
2017;1;1;23;16036.23188;3246;738;32;50003;47514;29450;40952;11502
2017;1;0;1;11583.33333;1313;0;9;351;2414;4425;1605;-2820
2017;1;1;155;33561.29032;4250;65932.02;14;2610274;2260909;1354705;1832384;477679
2017;1;1;3;3694.444444;1504;0;11;2638;855;530;650;120
2017;1;1;2;5583.333333;436;3;2;1115;257;336;178;-158
2017;1;1;1;20416.66667;1471;0;3;4362;3107;3108;3447;339
2017;1;1;2;2416.666667;1020;0;0;0;3504;2094;3494;1400
2017;1;0;1;14000;0;0;0;805;222;2205;869;-1336
2017;1;1;20;11158.33333;2252;0;7;9032;10135;6066;5485;-581
2017;1;1;30;19202.77778;3528;685;11;52717;24306;16986;15099;-1887
2017;1;0;2;8000;0;0;0;8664;563;563;574;11
2017;1;1;1464;24731.6143;2125;710;83;2132902;3210137;1825781;2508300;682519
2017;1;1;158;18839.66245;156;0;12;155593;165396;142147;147397;5250
2017;1;1;39;18147.4359;1701;407;1;1354;46800;36433;28033;-8400
2017;1;0;10;11083.33333;0;0;0;37448;28298;26057;31594;5537
2017;1;1;6;16041.66667;544;0;5;5258;8522;401;115;-286
2017;1;1;155;17566.12903;10637;1110;29;246361;183731;-92068;100169;192237
2017;1;1;42;14192.46032;2867;528;15;69896;39173;-17806;15920;33726
2017;1;1;2.4;15034.72222;537;86;1;5910;4107;-3016;3329;6345
2017;1;0;5;19216.66667;154.3;0;0;557;103;-103;163;266
2017;1;1;11;14992.42424;912;86;9;19491;6743;-4383;3247;7630
2017;1;1;1.4;14107.14286;766;45;0;1499;1100;-360;393;753
2017;1;1;1.4;14464.28571;1378;113;7;10289;6970;-5449;5343;10792
2017;1;0;0.5;3833.333333;1609;0;7;11687;111;-175;44;219
2017;1;1;0.5;18000;1500;0;0;0;311;-184;168;352
2017;1;1;6;15430.55556;1618;0;2;8245;7476;-7209;9998;17207
2017;1;1;75;16131.11111;2667;973;22;68201;52817;34321;35330;1009
2017;1;1;6;15833.33333;1511;286;9;10664;6275;2153;1572;-581
2017;1;1;5;11033.33333;2259;38;1;2579;2326;1777;1412;-365
2017;1;0;4;6375;3710;0;1;1402;985;1017;532;-485
2017;1;1;20;7637.5;1002;193;6;4707;7365;4152;3707;-445
2017;1;1;2;7958.333333;1611;0;2;2623;699;411;405;-6
2017;1;1;6;8291.666667;1259;0;13;11875;1893;2481;1050;-1431
2017;1;1;3;15500;150;12;1;10926;2479;745;1026;281
2017;1;1;649;18870.95532;17600;16029.321;145;1359603;710396;427184;418262;-8922
2017;1;1;7;16488.09524;2387;301;2;19392;12419;10243;10194;-91
2017;1;1;11;10287.87879;125;118;0;4555;4550;3570;3666;-96
2017;1;1;1;14500;482.6;94;3;8375;2204;1039;1079;40
2017;1;1;6;12972.22222;37;233;2;42930;5004;1419;1061;-358
2017;1;0;7;15130.95238;0;0;4;12199;8045;3355;3500;145
2017;1;0;15;13800;35;0;4;19721;19764;5472;3846;-1626
2017;1;1;31;16553.76344;1149;221;12;40982;18385;16066;15386;-680
2017;1;1;180;18574.53704;6447;3260;33;264725;228453;137333;158871;21539
2017;1;1;247;15897.4359;7587;3535;79;411694;225588;201527;205396;3869
2017;1;1;138;18510.86957;3858;1735;36;196964;138390;94683;109197;14514
2017;1;1;5;8983.333333;1840;0;2;5892;1782;790;749;-41
2017;1;1;3;7000;811;0;8;564;702;561;574;13
2017;1;1;64;14424.47917;3826;846;21;73192;54345;40264;38734;-1530
2017;1;1;44;11111.74242;3386;362;4;23290;24767;16825;16613;-212
2017;1;1;6;5541.666667;816;25;1;4411;2163;1354;1469;115
2017;1;1;1;6833.333333;70;0;1;7119;1989;862;1063;201
2017;1;1;86;17707.36434;1575;580;30;119038;99485;69565;73856;4291
2017;1;1;200;24370.83333;3019;1725;38;193031;221140;133706;128052;-5654
2017;1;1;11;9272.727273;240;0;5;26627;27528;27528;67577;40049
2017;1;1;90;29801.85185;3017;737;19;358399;247766;85606;93272;7666
2017;1;1;6;12500;277;0;6;2277;6989;6153;4994;-1159
2017;1;1;29;11034.48276;700;331;26;60158;26476;19752;17700;-2052
2017;1;1;2;11875;47;0;6;2109;1469;989;1035;46
2017;1;1;6;12305.55556;248;0;2;5610;5819;4056;4431;375
2017;1;1;56;21520.83333;2912;1206.22;21;274723;77212;27104;35451;8347
2017;1;1;20;12429.16667;565;0;7;38445;18512;14378;14351;-27
2017;1;1;31;14405.91398;731;156;14;20955;20423;13529;13327;-202
2017;1;1;135;18548.14815;2262;1152;30;152693;134635;84975;85909;934
2017;1;1;15;14227.77778;479;0;6;21645;9197;8680;5807;-2873
2017;1;1;233;27435.26466;3334;1919;35;249525;287881;180791;193158;12367
2017;1;1;229;18222.34352;2673;941;55;268769;209611;174316;197563;23247
2017;1;1;129;22764.85788;5507;1965;37;864951;240425;156784;167509;10725
2017;1;1;145;25054.02299;3920;1490;41;300732;274176;193955;183605;-10350
2017;1;1;113;37584.0708;5202;2200.32;30;544732;283554;196311;271476;75165
2017;1;1;87;15167.62452;5155;1068;23;196605;117287;65566;75085;9519
2017;1;1;75;18213.33333;4667;1166;24;118945;82230;46322;53435;7113
2017;1;1;90;25767.59259;0;1240;16;231483;127588;101970;113011;11041
2017;1;1;8;15572.91667;2968;0;4;61529;34541;18062;34750;16688
2017;1;1;6;16263.88889;2136;481;12;25703;27924;22542;22987;445
2017;1;0;1;16000;2382;0;0;0;23290;43477;42242;-1235
2017;1;0;2;13500;76;0;0;4844;781;780;908;128
2017;1;0;7;9547.619048;38;0;0;4416;2016;2015;2025;10
2017;1;1;2;13083.33333;895;0;0;1074;7882;5798;6213;415
2017;1;1;94;12499.11348;4366;581;41;102933;76494;96065;79297;-16768
2017;1;1;12;11756.94444;7446;0;0;22645;16761;14081;19931;5850
2017;1;1;2;15875;0;76;4;6824;7658;7586;4929;-2657
2017;1;1;11;15856.06061;2222;634;10;44415;97728;89725;82441;-7284
2017;1;1;186;25625;0;0;6;513657;810319;651551;849152;197601
2017;1;1;3;17333.33333;989;0;6;287422;4417;4417;4037;-380
2017;1;1;8.4;11081.34921;0;204;1;6319;7902;3745;8826;5081
2017;1;1;8;14750;6919;0;6;89203;34067;16632;20236;3604
2017;1;1;94;22775.70922;4599;1178;33;100110;131430;85052;85074;22
2017;1;1;70;11560.71429;8672;978;47;161915;11713;63660;90594;26934
2017;1;1;12;14166.66667;1320;194;3;8819;23190;13470;16008;2538
2017;1;1;76;20791.66667;2550;630;26;103248;87435;53583;56092;2509
2017;1;1;35;10602.38095;3684;574;18;80507;31330;16906;21383;4477
2017;1;1;26;24442.30769;6285;0;20;52738;45808;33933;38726;4793
2017;1;1;7;13797.61905;1954;426;7;11063;15662;16394;23093;6699
2017;1;1;74;14331.08108;3497;1268;31;143266;74357;32545;32860;315
2017;1;1;178;14817.8839;5222;1877;50;363407;273920;127070;113512;-13558
2017;1;1;18;11439.81481;2891;361;15;30021;17166;10694;11657;963
2017;1;1;128;16845.70313;4973;1593;34;78723;141281;73717;81223;7506
2017;1;1;388;20902.92096;6146;4042.3;72;403558;451456;237545;272947;35402
2017;1;1;108;15060.18519;5007;1517;39;251711;168449;95303;97086;1783
2017;1;1;189;19814.81481;4528;1517;38;264268;201051;115256;124015;8759
2017;1;0;1;10000;2;0;0;0;263;210;240;30
2017;1;1;18.2;19290.29304;60;0;3;58982;19824;7870;5589;-2281
2017;1;1;4;2875;2230;0;12;8315;1854;840;1050;210
2017;1;0;2;9666.666667;24;0;0;1193;766;476;593;117
2017;1;1;5;16650;3610;0;3;0;72911;42455;44651;2196
2017;1;1;6;7041.666667;500;116;2;3915;8095;2852;3659;807
2017;1;0;7;5273.809524;0;0;0;1169;884;258;637;379
2017;1;1;4;10625;869;206;5;4874;7487;4126;4768;642
2017;1;1;135;14100;25640;929;39;187404;242278;168205;315451;147246
2017;1;1;8;4166.666667;2091;0;6;6343;8844;6583;7609;1026
2017;1;1;3;10000;410;0;0;355;3416;2657;3675;1018
2017;1;1;2;5000;218;0;0;1074;995;665;680;15
2017;1;1;1;1916.666667;400;51;0;499;4969;1233;2671;1438
2017;1;1;1;2500;400;0;0;0;1113;404;530;126
2017;1;1;3;12388.88889;1700;574;0;35553;40158;22094;23058;964
2017;1;1;2;4041.666667;450;0;2;5577;1366;280;711;431
2017;1;1;12;10388.88889;851;267;6;21726;11280;8950;11785;2835
2017;1;1;32;6304.6875;3100;1132;13;40132;45166;18427;26804;8377
2017;1;1;1;6000;170;0;0;0;955;907;1290;383
2017;1;0;4;1895.833333;1250;0;27;12752;9462;3385;3403;18
2017;1;1;5;350;154;51;0;108;133;133;100;-33
2017;1;1;14;9041.666667;1713;0;9;18446;10294;8457;7407;-1050
2017;1;1;27;8925.925926;3794;574;33;68415;25643;17300;15364;-1936
2017;1;1;16;10401.04167;1725;0;11;19828;18231;9674;10526;852
2017;1;1;50;15228.33333;2167;1132;15;81783;48428;33978;39593;5615
2017;1;1;33;8133.838384;3399;#ÑÑÛËÊÀ!;16;51719;24005;17543;16451;-1092
2017;1;1;62;14291.66667;2891;0;27;0;38142;28868;19103;-9765
2017;1;1;103;21315.53398;12332;#ÑÑÛËÊÀ!;53;0;166197;102609;114082;11473
2017;1;1;2;15000;500;0;2;0;6695;4599;4425;-174
2017;1;1;139;20326.73861;5512;1809;26;0;131723;97492;95974;-1518
2017;1;1;62;24198.92473;0;42;1;0;47436;17079;29297;12218
2017;1;1;118;30768.36158;3185;2944;29;0;419415;328085;386361;58276
2017;1;1;177;24121.46893;169;0;10;0;156787;125564;165724;40160
2017;1;1;56;15811.0119;3643;242;29;0;77499;62006;46230;-15776
2017;1;1;14;14440.47619;396;117.23;5;9111;8722;7345;7813;468
2017;1;1;2;5958.333333;388;50;4;1552;2112;1820;1520;-300
2017;1;0;3;9722.222222;0;0;3;0;1129;857;1107;250
2017;1;1;5;13750;650;0;9;14843;6947;5076;6166;1090
2017;1;1;18;15444.44444;2175;429;8;21882;35187;20645;21289;644
2017;0;0;3;12583.33333;3886;0;11;53626;4384;5005;4970;-35
2017;0;0;0.4;10833.33333;2380;0;1;510;1990;243;615;372
2017;0;0;5;15300;1091;210.46;10;11389;9986;4640;4834;194
2017;1;1;3;10611.11111;307;0;6;517;2180;1130;1250;120
2017;1;1;52;14482.37179;1535;474;12;33415;51289;36328;36646;318
2017;1;1;3;12583.33333;3886;0;11;53626;4384;5005;4970;-35
2017;1;1;0.4;10833.33333;2380;0;1;510;1990;243;615;372
2017;1;1;3;14722.22222;303;16;0;360;921;357;431;74
2017;1;1;79;26509.49367;7068;103.41;19;367636;118279;74016;84458;10442
2017;1;1;25;22850;16078;0;5;189518;39578;14819;14822;3
2017;1;1;5;15300;1091;210.46;10;11389;9986;4640;4834;194
2017;1;1;6;15861.11111;2324;0;7;5591;2686;1395;1425;30
2017;1;1;262;21881.99746;9442;2744;62;496407;325236;185712;189545;3833
2017;1;1;220;15889.39394;9030;1081;38;334448;179594;103826;112158;8332
2017;1;1;242;23405.30303;7655;3749.58;35;435281;397313;213550;221931;8381
2017;1;1;50;18813.33333;3418;684;20;76337;51906;37770;33819;-3951
2017;1;1;15;14644.44444;327.4;0;3;12555;12730;13301;13715;414
2017;1;1;76;18092.10526;4219;503;20;150216;82423;47159;48133;974
2017;1;1;180;20308.33333;9013;3684;37;1141204;349727;167806;128997;-38809
2017;1;1;1.6;6979.166667;170;0;1;335;822;786;1177;391
2017;1;1;22;8814.393939;2135;474;17;8115;24350;13605;12987;0
2017;1;1;100;20002.5;4410;1300;24;243565;151568;102076;103300;1224
2017;1;1;3.3;14217.17172;1025;0;8;12795;3868;2324;3261;937
2017;1;1;68;14246.32353;2576;1362;21;340354;115004;93128;86628;-6500
2017;1;1;201;18850.33167;3749;1769;41;230956;213690;129799;146020;16221
2017;1;1;51;17562.0915;3515;797;40;219569;73984;52756;52842;86
2017;1;1;1250;23488.6;0;0;35;2906299;3583224;2993134;3362974;369840
2017;1;1;26;19660.25641;3325;0;12;72128;48953;50495;51223;728
2017;1;1;369;15970.64137;6111;0;59;265250;711571;573539;581936;8397
2017;1;1;7;26392.85714;4254;0;0;12602;42140;30233;33376;3143
2017;1;1;20;14516.66667;1883;361;5;27870;25844;18424;18592;168
2017;1;1;124;14298.3871;3983;1022;28;164953;102860;68295;59404;8891
2017;1;1;70;16397.61905;4704;723;17;435093;95167;55512;53774;-1738
2017;1;0;0.125;12000;145;0;0;0;169;125;182;57
